epoch,acc,loss
0,0.73,0.20457517266273498
1,0.758,0.17288576817512513
2,0.8,0.14929707849025725
3,0.744,0.16526711308956146
4,0.784,0.1590894092321396
5,0.778,0.147359827876091
6,0.786,0.15282143414020538
7,0.776,0.15111472618579863
8,0.784,0.142621519446373
9,0.778,0.15427177703380585
10,0.802,0.14815385830402375
11,0.792,0.15008171796798705
12,0.796,0.15310032564401627
13,0.784,0.14775350522994996
14,0.792,0.1472825653553009
15,0.78,0.15189113736152648
16,0.804,0.14903599965572356
17,0.798,0.14305540138483047
18,0.784,0.14476564610004425
19,0.794,0.1477542418241501
20,0.802,0.14275425434112549
21,0.784,0.1461683943271637
22,0.776,0.14866053128242493
23,0.796,0.14700342559814453
24,0.8,0.14159798562526704
25,0.8,0.14073987197875976
26,0.798,0.1428872709274292
27,0.784,0.1456098483800888
28,0.8,0.1419008026123047
29,0.806,0.14370179402828218
30,0.798,0.14593150067329408
31,0.794,0.141072858273983
32,0.77,0.14762677597999574
33,0.786,0.14356523418426514
34,0.784,0.14193142199516295
35,0.798,0.1493607966899872
36,0.786,0.1485144761800766
37,0.79,0.15472994321584702
38,0.804,0.14126397705078125
39,0.794,0.14512477838993074
40,0.79,0.1449892997741699
41,0.8,0.14521923887729646
42,0.792,0.1504485696554184
43,0.792,0.14362355947494507
44,0.8,0.14228514277935028
45,0.806,0.13859486842155458
46,0.776,0.14339237296581267
47,0.784,0.14490964448451996
48,0.798,0.14139203560352326
49,0.782,0.14582083761692047
50,0.806,0.1397578512430191
51,0.796,0.1401490852832794
52,0.792,0.14129345679283142
53,0.79,0.14441043573617934
54,0.796,0.14230641293525695
55,0.802,0.13886978101730346
56,0.804,0.14065556222200393
57,0.788,0.14229801046848298
58,0.802,0.13655765157938005
59,0.796,0.14117024940252304
60,0.782,0.14246266937255858
61,0.804,0.14139573395252228
62,0.81,0.13972049021720886
63,0.804,0.13955855110287665
64,0.806,0.13806973481178283
65,0.788,0.14127627360820771
66,0.808,0.13967970502376556
67,0.786,0.1422112544775009
68,0.796,0.14148755937814714
69,0.804,0.1390925772190094
70,0.788,0.1434025774002075
71,0.788,0.14115576303005217
72,0.8,0.14468345296382903
73,0.8,0.13790814578533173
74,0.798,0.14165943157672883
75,0.796,0.1441114177107811
76,0.808,0.13762751591205596
77,0.8,0.1386676095724106
78,0.804,0.13813248896598815
79,0.806,0.13979287028312684
80,0.8,0.14456027990579606
81,0.798,0.14184884572029113
82,0.798,0.1425596693754196
83,0.792,0.14095577824115754
84,0.79,0.14220876705646515
85,0.804,0.13700392127037048
86,0.798,0.13890027606487274
87,0.78,0.14382201743125916
88,0.798,0.13675933849811553
89,0.81,0.14002003967761995
90,0.796,0.1410971620082855
91,0.806,0.13846525406837462
92,0.802,0.1402840143442154
93,0.796,0.14189006102085114
94,0.802,0.13732427370548247
95,0.808,0.13985654258728028
96,0.808,0.1397918051481247
97,0.794,0.1397719260454178
98,0.808,0.14052825236320496
99,0.79,0.14285181093215943
100,0.79,0.14187455809116364
101,0.796,0.14037587308883667
102,0.782,0.14208431792259216
103,0.8,0.1399326367378235
104,0.808,0.1379251638650894
105,0.8,0.14070879995822907
106,0.798,0.13874279314279556
107,0.812,0.14189952564239502
108,0.794,0.1373917943239212
109,0.802,0.14065535831451417
110,0.784,0.1484734477996826
111,0.806,0.13625334668159486
112,0.804,0.13854923927783966
113,0.786,0.14964330613613128
114,0.804,0.13794762396812438
115,0.806,0.14497009575366973
116,0.796,0.13852659511566162
117,0.814,0.13478603959083557
118,0.812,0.13664350020885468
119,0.798,0.13945922100543975
120,0.812,0.1363498775959015
121,0.782,0.1438895926475525
122,0.79,0.13626322484016418
123,0.802,0.14178702235221863
124,0.798,0.13921393179893493
125,0.808,0.14375113862752914
126,0.802,0.13793272519111632
127,0.808,0.13720852613449097
128,0.802,0.13991212475299836
129,0.814,0.1344803786277771
130,0.814,0.13777810668945312
131,0.818,0.13827422815561294
132,0.804,0.13960828042030335
133,0.814,0.1347389302253723
134,0.818,0.13355322134494782
135,0.804,0.13875466918945312
136,0.8,0.14076307678222658
137,0.816,0.13434965968132018
138,0.798,0.1385036255121231
139,0.804,0.13689689129590987
140,0.802,0.14042165172100068
141,0.802,0.13874524760246276
142,0.806,0.13708070462942124
143,0.814,0.1340418473482132
144,0.798,0.13702056086063386
145,0.814,0.1353667140007019
146,0.8,0.1374777631163597
147,0.792,0.13979780918359758
148,0.802,0.1381861698627472
149,0.802,0.13970089149475098
150,0.782,0.13926647847890855
151,0.796,0.13644354820251464
152,0.81,0.13623975574970246
153,0.81,0.13630415380001068
154,0.8,0.13625820219516754
155,0.812,0.13452105033397674
156,0.802,0.13906469929218293
157,0.804,0.13671005189418792
158,0.812,0.13758260190486907
159,0.798,0.13789707016944885
160,0.81,0.13829523128271104
161,0.82,0.13529193919897078
162,0.804,0.13551721501350403
163,0.802,0.13591437423229216
164,0.792,0.13721743881702422
165,0.816,0.13280454593896865
166,0.814,0.13400194883346558
167,0.816,0.13441969454288483
168,0.808,0.1395525543689728
169,0.806,0.13890651279687882
170,0.81,0.13676283252239227
171,0.808,0.13646822082996368
172,0.804,0.14019984412193298
173,0.81,0.134440105676651
174,0.794,0.14078116315603256
175,0.788,0.13763838195800782
176,0.81,0.1368704044818878
177,0.806,0.13823099935054778
178,0.796,0.13661101496219635
179,0.794,0.13948756939172743
180,0.808,0.1356844435930252
181,0.802,0.1359676820039749
182,0.81,0.13330187380313874
183,0.812,0.13728967279195786
184,0.81,0.1343829241991043
185,0.81,0.13625125527381898
186,0.808,0.13336828088760375
187,0.806,0.13753096890449523
188,0.806,0.1399011033773422
189,0.808,0.13249701488018037
190,0.808,0.13625915837287902
191,0.804,0.1350867941379547
192,0.798,0.1406385487318039
193,0.808,0.1347252802848816
194,0.804,0.1355376173257828
195,0.802,0.13938252684473992
196,0.808,0.13337328696250916
197,0.816,0.13409561359882355
198,0.81,0.13455031371116638
199,0.802,0.13748966443538665
200,0.818,0.1348333457708359
201,0.806,0.14008247447013855
202,0.808,0.1337953417301178
203,0.806,0.13887458622455598
204,0.806,0.13917541539669037
205,0.82,0.13715567433834075
206,0.816,0.1368881095647812
207,0.81,0.1369758837223053
208,0.81,0.13756570875644683
209,0.812,0.13955681014060975
210,0.806,0.13296070629358292
211,0.806,0.1358938416838646
212,0.794,0.13669466054439544
213,0.802,0.13569762301445007
214,0.81,0.13190401262044907
215,0.814,0.1323931610584259
216,0.806,0.13374589163064957
217,0.81,0.13529201233386992
218,0.8,0.13333234345912934
219,0.806,0.1371147013902664
220,0.812,0.13532047951221465
221,0.812,0.1337236521244049
222,0.812,0.1328290258049965
223,0.814,0.13456777399778366
224,0.816,0.13610658115148544
225,0.82,0.13215800106525422
226,0.806,0.1351174128651619
227,0.792,0.13683696216344834
228,0.798,0.13643683475255966
229,0.808,0.13909444177150726
230,0.804,0.13329408776760102
231,0.816,0.1331788009405136
232,0.806,0.13442257344722747
233,0.81,0.1353684343099594
234,0.8,0.13554567742347717
235,0.822,0.1364847139120102
236,0.812,0.13147814631462096
237,0.804,0.13633851730823518
238,0.808,0.13431760084629057
239,0.802,0.13521424126625062
240,0.8,0.13664814817905427
241,0.818,0.1336668472290039
242,0.808,0.13469569766521453
243,0.804,0.13536090111732482
244,0.816,0.1324079920053482
245,0.818,0.1352297316789627
246,0.818,0.1339832446575165
247,0.808,0.14058390378952026
248,0.82,0.13438662475347518
249,0.816,0.13256441581249237
250,0.814,0.13323284780979155
251,0.808,0.132666051030159
252,0.804,0.13274054455757142
253,0.806,0.13792109179496764
254,0.812,0.13731325674057007
255,0.822,0.13208256089687348
256,0.806,0.13576772892475128
257,0.814,0.1358181356191635
258,0.814,0.13330978155136108
259,0.81,0.13512822306156158
260,0.814,0.13515532445907594
261,0.81,0.13239549374580384
262,0.806,0.1342592136859894
263,0.806,0.13251291060447692
264,0.802,0.13520868688821794
265,0.816,0.1327838020324707
266,0.82,0.1311212592124939
267,0.802,0.13267084968090057
268,0.812,0.13466458785533905
269,0.822,0.13641030061244966
270,0.806,0.1393734751343727
271,0.814,0.1315308049917221
272,0.808,0.13651666009426117
273,0.81,0.13449315237998963
274,0.796,0.13800449711084367
275,0.82,0.1349369035959244
276,0.802,0.13545588129758834
277,0.806,0.13577435898780824
278,0.794,0.12971912729740143
279,0.816,0.13165365517139435
280,0.806,0.13217648231983184
281,0.814,0.1319154853820801
282,0.814,0.13377668666839598
283,0.812,0.13410725033283233
284,0.818,0.13299880200624467
285,0.82,0.13150888437032698
286,0.81,0.1317861647605896
287,0.81,0.13939839386940003
288,0.816,0.1326796089410782
289,0.806,0.1359887752532959
290,0.81,0.13373461186885835
291,0.81,0.13439812505245208
292,0.824,0.13261798810958864
293,0.808,0.13340287065505982
294,0.812,0.13387921226024627
295,0.812,0.135193736076355
296,0.818,0.13232787895202636
297,0.806,0.13340458005666733
298,0.81,0.133279144346714
299,0.796,0.13487925469875336
300,0.808,0.13355114066600798
301,0.816,0.13415593099594117
302,0.818,0.13031694638729097
303,0.81,0.13216883355379105
304,0.806,0.13313368344306944
305,0.808,0.1363786027431488
306,0.824,0.13532907605171204
307,0.812,0.13375410461425782
308,0.81,0.13139239156246185
309,0.814,0.1313653210401535
310,0.818,0.1358016757965088
311,0.824,0.13294365286827087
312,0.822,0.13176768970489502
313,0.806,0.13405639815330506
314,0.82,0.13223231300711633
315,0.824,0.13082527339458466
316,0.81,0.13166053926944732
317,0.818,0.13257202917337418
318,0.822,0.1348114584684372
319,0.808,0.13307128691673278
