epoch,acc,loss
0,0.0,0.9434312238693238
1,0.06,0.7137164363861084
2,0.176,0.5384536354541779
3,0.184,0.49124425506591796
4,0.22,0.44686610221862794
5,0.263,0.41795006704330445
6,0.273,0.3937960660457611
7,0.308,0.3593740718364716
8,0.333,0.33784377193450926
9,0.373,0.31889222145080565
10,0.374,0.2978320319056511
11,0.39,0.28490682458877564
12,0.4,0.2705272552967072
13,0.404,0.26141190648078916
14,0.405,0.25543576169013976
15,0.421,0.23951479005813597
16,0.42,0.22719981026649474
17,0.423,0.21472115206718445
18,0.429,0.20738445806503297
19,0.436,0.19515004682540893
20,0.435,0.18994811511039733
21,0.44,0.17912584817409516
22,0.433,0.17818782567977906
23,0.436,0.17451047444343568
24,0.447,0.16400458860397338
25,0.446,0.15671203088760377
26,0.449,0.14832383847236633
27,0.444,0.14630068826675416
28,0.451,0.1421336326599121
29,0.452,0.13226164072752
30,0.451,0.13303200840950014
31,0.455,0.12373022794723511
32,0.452,0.12886069798469543
33,0.456,0.11485512804985046
34,0.457,0.11083511984348297
35,0.464,0.10999154806137085
36,0.455,0.10592430791258813
37,0.462,0.10135825902223587
38,0.458,0.09937865820527077
39,0.466,0.0956724510192871
40,0.468,0.09290123185515403
41,0.464,0.08845944690704345
42,0.466,0.08775170636177063
43,0.466,0.08451774454116821
44,0.467,0.08119671908020973
45,0.468,0.08105827736854553
46,0.468,0.07968008071184159
47,0.466,0.07507831585407257
48,0.466,0.07349051207304001
49,0.47,0.07267517983913421
