epoch,acc,loss
0,0.281,1.1827373585700989
1,0.391,0.28917485427856443
2,0.426,0.22896624100208282
3,0.428,0.20493526607751847
4,0.4305,0.1879687424302101
5,0.4345,0.1743618005812168
6,0.435,0.16332128328084947
7,0.4375,0.15419933032989502
8,0.4375,0.14665807527303695
9,0.44,0.13979420572519302
10,0.4415,0.13316561657190323
11,0.446,0.1264968473315239
12,0.447,0.12108128547668456
13,0.448,0.11569705595076084
14,0.449,0.11017745107412338
15,0.452,0.10525180071592331
16,0.4515,0.10063447576761246
17,0.4565,0.0964793432801962
18,0.4565,0.09180347433686256
19,0.459,0.08690144902467728
20,0.4585,0.08405463373661042
21,0.4605,0.07947068473696708
22,0.461,0.07587358152866364
23,0.461,0.07343166366964579
24,0.4665,0.06937025418877601
25,0.469,0.06666910675168038
26,0.469,0.06332967157661915
27,0.4675,0.06116950960457325
28,0.47,0.0582841691672802
29,0.473,0.05492004680633545
30,0.472,0.05332769583165645
31,0.4745,0.050735162377357486
32,0.473,0.04942955540120602
33,0.476,0.046466683685779574
34,0.474,0.04452138797938824
35,0.477,0.042689674362540245
36,0.4765,0.04199745212495327
37,0.4765,0.0393008019477129
38,0.478,0.03789885151386261
39,0.4795,0.03635432084649801
40,0.479,0.034939737901091575
41,0.481,0.03353639675676823
42,0.4815,0.03217192025482655
43,0.4825,0.030776914276182652
44,0.4825,0.029798305802047252
45,0.486,0.02826326648890972
46,0.4835,0.027164191648364068
47,0.4855,0.02601174018532038
48,0.4855,0.025745769038796426
49,0.4865,0.02419829358905554
